                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.358,                 2.1406,                 1.8146,                 0.4581,                0.40344,                0.38919,                0.23366,                 1.4389,                 2.0379,                 1.9138,               0.003466,               0.003466,               0.003466
                     36,                 1.3474,                 2.1178,                 1.8085,                0.45368,                0.40389,                0.39676,                0.24028,                  1.447,                 2.0253,                 1.9227,               0.003268,               0.003268,               0.003268
                     37,                 1.3397,                 2.0813,                 1.7921,                0.45821,                0.39613,                 0.3975,                0.24084,                 1.4389,                 2.0183,                 1.9109,                0.00307,                0.00307,                0.00307
                     38,                 1.3378,                 2.0672,                 1.7905,                0.47501,                0.41063,                0.40665,                 0.2442,                 1.4348,                 2.0314,                 1.9097,               0.002872,               0.002872,               0.002872
                     39,                 1.3331,                 2.0583,                 1.7863,                0.47563,                0.41246,                0.41206,                0.25248,                 1.4281,                 2.0013,                 1.9007,               0.002674,               0.002674,               0.002674
                     40,                 1.3151,                 2.0172,                 1.7753,                0.48225,                0.41972,                0.41574,                0.25326,                 1.4201,                 1.9777,                 1.8985,               0.002476,               0.002476,               0.002476
                     41,                 1.3363,                 1.9263,                  1.832,                0.52367,                0.38535,                 0.4203,                0.25862,                 1.4061,                 1.9612,                 1.8977,               0.002278,               0.002278,               0.002278
                     42,                 1.3136,                  1.871,                 1.8132,                0.51069,                0.39589,                 0.4189,                0.25847,                 1.4071,                 1.9691,                  1.892,                0.00208,                0.00208,                0.00208
                     43,                 1.3012,                 1.8376,                 1.7987,                0.51942,                0.40709,                0.42633,                0.26343,                 1.4026,                  1.933,                 1.8936,               0.001882,               0.001882,               0.001882
                     44,                 1.2884,                 1.8225,                 1.7867,                0.50136,                0.42379,                0.42612,                0.26307,                 1.4062,                 1.9425,                 1.8941,               0.001684,               0.001684,               0.001684
                     45,                 1.2788,                 1.7897,                 1.7741,                0.50747,                0.42368,                0.43671,                0.27528,                 1.3932,                 1.9274,                 1.8794,               0.001486,               0.001486,               0.001486
                     46,                 1.2756,                 1.7679,                 1.7659,                0.50395,                0.43028,                 0.4341,                0.27192,                 1.3839,                  1.921,                  1.875,               0.001288,               0.001288,               0.001288
                     47,                 1.2557,                 1.7488,                 1.7607,                0.49807,                0.43617,                0.43744,                0.27335,                 1.3937,                 1.9166,                 1.8778,                0.00109,                0.00109,                0.00109
                     48,                  1.244,                   1.73,                 1.7454,                0.56003,                0.41028,                0.44693,                0.28201,                 1.3845,                 1.9028,                 1.8784,               0.000892,               0.000892,               0.000892
                     49,                 1.2466,                 1.6992,                 1.7475,                0.49429,                0.45349,                0.44663,                0.28128,                 1.3843,                 1.8959,                 1.8644,               0.000694,               0.000694,               0.000694
                     50,                 1.2408,                 1.6958,                 1.7441,                0.52033,                0.44694,                0.45213,                0.28435,                 1.3806,                 1.8795,                 1.8755,               0.000496,               0.000496,               0.000496
